CRR,,CRR1.1,CRR1.2,CRR2.1,CRR2.2,CRR3.1,CRR3.2,CRR3.3,CRR4.1,CRR4.2,CRR4.3,CRR5.1,CRR5.2,CRR5.3,CRR6.1,CRR6.2,CRR7.1,CRR7.2,CRR8.1,CRR8.2,CRR8.3
DR_31OCT2010,,,,,0.00051,0.00240,0.00439,0.00704,0.00709,0.01300,0.01690,0.01520,0.01340,0.01370,0.05810,0.07200,0.17700,0.19400,0.14200,0.16400,0.32900
DR_30NOV2010,0.00064,,,,0.00061,0.00218,0.00433,0.00670,0.00611,0.01240,0.01570,0.01480,0.01230,0.01180,0.05230,0.06570,0.17100,0.19400,0.15900,0.17900,0.30900
DR_31DEC2010,0.00130,,,,0.00041,0.00158,0.00476,0.00717,0.00611,0.01090,0.01620,0.01330,0.01130,0.03710,0.04830,0.06120,0.16700,0.17800,0.15600,0.19000,0.30100
DR_31JAN2011,0.00264,,,,0.00040,0.00182,0.00512,0.00590,0.00585,0.01060,0.01600,0.01250,0.00932,0.03390,0.04610,0.05700,0.15400,0.16900,0.14400,0.18200,0.30200
DR_28FEB2011,0.00075,,,,0.00043,0.00188,0.00388,0.00573,0.00531,0.01010,0.01410,0.01240,0.01010,0.02750,0.04610,0.05960,0.13800,0.15800,0.13200,0.22100,0.30200
DR_31MAR2011,0.00036,,0.00013,,0.00037,0.00165,0.00390,0.00553,0.00484,0.01200,0.01350,0.01170,0.01040,0.02800,0.04570,0.06210,0.13400,0.14800,0.15100,0.24100,0.30700
DR_30APR2011,0.00223,,0.00016,,0.00027,0.00163,0.00349,0.00448,0.00471,0.00662,0.01280,0.01160,0.01140,0.02360,0.04390,0.05970,0.13100,0.14100,0.15800,0.21000,0.30800
DR_31MAY2011,0.00171,,,,0.00016,0.00204,0.00318,0.00415,0.00596,0.00540,0.01220,0.01190,0.01340,0.02230,0.04180,0.06320,0.13200,0.15200,0.18500,0.22400,0.29300
DR_30JUN2011,0.00218,,,,,0.00157,0.00344,0.00323,0.00441,0.00486,0.01230,0.00918,0.01510,0.02320,0.04120,0.06280,0.13700,0.14000,0.17600,0.22500,0.29000
DR_31JUL2011,0.00206,,,,0.00021,0.00145,0.00337,0.00268,0.00303,0.00446,0.01100,0.00833,0.01460,0.01760,0.04170,0.06150,0.13800,0.14000,0.17400,0.23300,0.29600
DR_31AUG2011,0.00226,,,,0.00022,0.00108,0.00316,0.00343,0.00301,0.00578,0.00792,0.00865,0.01670,0.01810,0.04090,0.05850,0.13000,0.14000,0.19100,0.24700,0.29300
DR_30SEP2011,0.00185,,,,0.00023,0.00079,0.00269,0.00315,0.00339,0.00656,0.00830,0.00798,0.01680,0.01680,0.04090,0.05940,0.12400,0.14400,0.18800,0.25800,0.31200
DR_31OCT2011,0.00197,,,,0.00024,0.00069,0.00218,0.00244,0.00257,0.00767,0.00704,0.00788,0.01330,0.01740,0.04040,0.06130,0.11800,0.13900,0.18100,0.26000,0.32400
DR_30NOV2011,0.00170,,,,,0.00070,0.00259,0.00237,0.00214,0.00630,0.00714,0.00781,0.00891,0.01020,0.04090,0.06630,0.12100,0.15700,0.19700,0.25200,0.32800
DR_31DEC2011,0.00283,,,,,0.00045,0.00038,0.00206,0.00173,0.00868,0.00882,0.00945,0.00988,0.00879,0.03890,0.05580,0.11600,0.14800,0.21700,0.25200,0.31900
DR_31JAN2012,0.00300,,,,,0.00045,0.00050,0.00161,0.00211,0.00751,0.00946,0.00952,0.00826,0.00959,0.03830,0.05690,0.10800,0.13900,0.21300,0.23800,0.30000
DR_29FEB2012,0.00253,,,,,0.00046,0.00063,0.00334,0.00205,0.00771,0.00983,0.00829,0.01180,0.00793,0.03480,0.05740,0.10500,0.10900,0.21100,0.28200,0.30200
DR_31MAR2012,0.00277,,,,,0.00045,0.00101,0.00331,0.00155,0.00904,0.00948,0.00859,0.01250,0.00818,0.03590,0.05620,0.11200,0.12500,0.18300,0.27600,0.30400
DR_30APR2012,0.00261,,,,,0.00044,0.00115,0.00312,0.00230,0.00892,0.00957,0.00874,0.01200,0.00994,0.04020,0.05700,0.10700,0.12200,0.18900,0.27900,0.28600
DR_31MAY2012,0.00212,,,,0.00026,0.00015,0.00113,0.00333,0.00266,0.00974,0.00942,0.00838,0.01260,0.00910,0.04240,0.05230,0.10600,0.11900,0.19100,0.28000,0.28700
DR_30JUN2012,0.00162,,,,0.00026,0.00015,0.00087,0.00221,0.00401,0.01200,0.00954,0.00880,0.01210,0.00745,0.03720,0.05970,0.10100,0.12500,0.18500,0.28300,0.31000
DR_31JUL2012,0.00172,,,,0.00024,0.00043,0.00076,0.00189,0.00397,0.01070,0.00877,0.00819,0.01320,0.00764,0.03950,0.05430,0.10900,0.14200,0.19200,0.26200,0.31900
DR_31AUG2012,0.00172,,,,0.00024,0.00043,0.00062,0.00273,0.00532,0.00887,0.00824,0.00846,0.01390,0.00937,0.04260,0.05130,0.10300,0.14900,0.20500,0.27200,0.32800
DR_30SEP2012,0.00154,,,,0.00024,0.00043,0.00087,0.00320,0.00585,0.00730,0.00857,0.00908,0.01160,0.00912,0.04320,0.05460,0.10500,0.15400,0.22300,0.27700,0.32800
