CRR,,CRR1.1,CRR1.2,CRR2.1,CRR2.2,CRR3.1,CRR3.2,CRR3.3,CRR4.1,CRR4.2,CRR4.3,CRR5.1,CRR5.2,CRR5.3,CRR6.1,CRR6.2,CRR7.1,CRR7.2,CRR8.1,CRR8.2,CRR8.3
All_30JUN2012,45752,,,,3915,6757,8081,6330,5234,4424,4088,12499,3216,5234,4437,2045,2138,786,806,378,694
All_31JUL2012,45376,,,,4165,6923,7884,6340,5286,4400,3989,12452,3261,5366,4334,1970,2111,749,808,374,678
All_31AUG2012,44857,,,,4208,7023,8033,6230,5267,4509,3884,12413,3241,5552,4271,1909,2062,724,777,357,655
All_30SEP2012,44076,,,,4246,7011,8015,6257,5296,4521,3852,12439,3182,5703,4194,1833,2027,748,735,358,613
All_31OCT2012,44018,,,,4318,7007,7888,6360,5286,4650,3828,12431,3163,5841,4189,1806,1985,755,702,348,577
All_30NOV2012,43893,,,,4331,6978,7842,6413,5275,4694,3754,12426,3195,5902,4086,1721,1956,712,683,327,575
All_31DEC2012,43957,,,,4268,7216,7642,6318,5176,4709,3834,12359,3139,6191,3747,1579,1863,664,649,328,549
All_31JAN2013,43990,,,,,7225,7670,6398,5211,4681,3804,12346,3108,6408,3573,1469,1753,631,625,325,491
All_28FEB2013,44404,,,,,7333,7754,6377,5265,4652,3764,12360,3082,6593,3469,1378,1632,656,547,309,436
All_31MAR2013,44349,,,,,7441,7755,6441,5259,4660,3691,12268,3158,6692,3358,1333,1476,644,507,282,409
All_30APR2013,44468,,,,,7207,7937,6561,5273,4629,3685,12134,3193,6774,3213,1326,1410,593,455,276,374
All_31MAY2013,44834,,,,,7206,7890,6710,5229,4646,3726,11954,3144,6334,3036,1298,1328,547,432,265,338
All_30JUN2013,45980,,,,,7252,7999,6745,5220,4573,3828,11823,3153,6221,2963,1242,1247,522,429,254,314
All_31JUL2013,46258,,,,,7276,8071,7005,5192,4593,3914,11778,3110,6448,2878,1207,1188,502,399,227,282
All_31AUG2013,45827,,,,,6982,8100,6895,5193,4718,4030,11622,3047,6369,2773,1160,1149,486,340,211,268
All_30SEP2013,46058,,,,,7154,7949,6704,5196,4773,4052,11505,3118,6510,2672,1143,1070,466,326,185,227
All_31OCT2013,45032,,,,,7020,7846,7012,5190,4739,4001,11359,3067,6534,2553,1095,1045,484,331,196,222
All_30NOV2013,47552,,,,,7135,7797,7001,5201,4751,4046,11162,3062,6476,2441,1076,1073,477,311,180,211
All_31DEC2013,47793,,,,,6973,7811,6916,5100,4782,4095,11008,3022,6658,2374,1043,993,443,288,131,196
All_31JAN2014,48213,,,,,6962,7834,6905,5076,4810,4113,10902,3005,6831,2358,998,990,413,276,127,182
All_28FEB2014,48822,,,,4721,6993,7918,6819,5007,4754,4095,10801,2954,6928,2322,1000,971,350,276,116,166
All_31MAR2014,48730,,,,4771,6963,7977,6778,4988,4681,4066,10726,2834,6857,2263,966,915,346,276,99,153
All_30APR2014,49665,,,,4623,7118,7957,6807,4945,4753,3980,10477,2745,6745,2161,940,905,319,265,98,152
All_31MAY2014,50720,,,,4670,7109,7857,6945,4929,4628,3932,10558,2748,6458,2091,973,852,310,267,91,145
All_30JUN2014,50587,,,,4682,7216,7800,6981,4950,4652,3938,10372,2962,6298,2057,933,971,291,289,89,170
All_31JUL2014,50501,,,,4700,7289,7784,6956,4990,4673,3946,9798,3102,6200,1964,891,1290,290,373,89,170
All_31AUG2014,50617,,,,5082,7299,7806,6830,4958,4600,4067,8922,3409,6063,1815,805,1762,257,495,97,193
All_30SEP2014,50381,,,,5253,7308,7712,6747,5000,4596,4145,7755,3735,5889,1716,721,2352,239,621,96,183
