CRR,,CRR1.1,CRR1.2,CRR2.1,CRR2.2,CRR3.1,CRR3.2,CRR3.3,CRR4.1,CRR4.2,CRR4.3,CRR5.1,CRR5.2,CRR5.3,CRR6.1,CRR6.2,CRR7.1,CRR7.2,CRR8.1,CRR8.2,CRR8.3
Def_30JUN2013,65,,,,,10,11,18,34,46,46,124,32,168,164,123,172,110,127,97,127
Def_31JUL2013,73,,,,,8,10,33,30,52,48,128,33,165,162,114,185,114,121,80,104
Def_31AUG2013,74,,,,,5,23,24,34,49,46,112,36,181,156,108,205,116,93,72,99
Def_30SEP2013,71,,,,,5,22,26,34,46,39,114,33,175,173,125,177,111,84,57,80
Def_31OCT2013,59,,,,,5,21,28,32,42,38,127,37,149,135,109,169,132,86,81,86
Def_30NOV2013,52,,,,,6,23,27,35,39,48,162,31,100,135,99,228,116,78,75,79
Def_31DEC2013,75,,,,,5,19,25,29,36,51,144,36,119,130,100,173,105,70,42,71
Def_31JAN2014,45,,,,,4,20,26,27,34,51,90,41,128,162,90,185,101,62,37,73
Def_28FEB2014,38,,,,2,3,15,29,21,51,49,94,46,122,161,94,162,51,70,30,58
Def_31MAR2014,40,,,,2,4,16,30,32,26,38,94,38,118,151,76,132,46,69,27,49
Def_30APR2014,32,,,,2,4,16,29,32,21,35,88,39,126,132,70,121,51,56,28,47
Def_31MAY2014,22,,,,2,5,14,30,25,20,28,91,36,120,82,103,107,53,55,24,42
Def_30JUN2014,20,,,,2,5,13,27,13,29,28,88,30,109,80,95,90,54,47,23,36
Def_31JUL2014,45,,,,2,4,14,25,12,34,31,71,23,109,79,97,88,50,47,24,35
Def_31AUG2014,46,,,,2,5,10,24,14,31,26,61,25,96,72,46,133,46,50,33,30
Def_30SEP2014,45,,,,2,6,13,19,19,35,26,54,17,83,85,32,131,37,56,31,31
